,Year,Primary Enrollment,GDP
0,2001,2597886.0,1313.19227138031
1,2002,2567685.0,1348.76379500399
2,2003,2513342.0,1389.58720757164
3,2004,2451125.0,1475.96966522514
4,2005,2383326.0,1560.29200828753
5,2006,2277191.0,1656.22259347108
6,2007,2164897.0,1787.49021293322
7,2008,2071317.0,1917.84937180883
8,2009,1995747.0,2037.58149842337
9,2010,1970922.0,2131.35773102117
10,2011,1948128.0,2231.0527242122
11,2012,1955692.0,2354.59365543821
12,2013,1981330.0,2487.24441622102
13,2014,2033877.0,2613.74826183479
14,2015,2134601.0,2753.97107219949
15,2016,2260515.0,2867.05112822931
16,2017,2391489.0,2943.09922167133
17,2018,2485178.0,3047.30838365541
18,2019,2505930.0,3161.41538138857
19,2020,2508453.0,3159.72604728047
